layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
10,0.9197823390624873,0.9350369915462938,0.9045276865786809,3282,0.9387871853546911,214,0.06121281464530892,242,0.10074937552039967,2160,0.8992506244796004,0.976929979501385,5898
11,0.9433011687733777,0.9537633044783027,0.9328390330684527,3333,0.9533752860411899,163,0.04662471395881007,160,0.06661115736885928,2242,0.9333888426311407,0.9872779430983831,5898
12,0.9392658419453832,0.9504744048822122,0.9280572790085543,3320,0.9496567505720824,176,0.05034324942791762,170,0.07077435470441298,2232,0.929225645295587,0.9849160178052883,5898
13,0.9525701677920542,0.9614145500545866,0.9437257855295218,3364,0.9622425629290617,132,0.03775743707093822,138,0.05745212323064113,2264,0.9425478767693589,0.9917824576321358,5898
14,0.9589631128359055,0.9664373583450196,0.9514888673267915,3371,0.9642448512585813,125,0.03575514874141877,109,0.04537885095753539,2293,0.9546211490424646,0.9964323152876264,5898
15,0.9610577314791506,0.9681756976024379,0.9539397653558634,3378,0.9662471395881007,118,0.033752860411899316,104,0.04329725228975854,2298,0.9567027477102414,0.9962847959571135,5898
16,0.9587757827132037,0.9663143563493122,0.9512372090770953,3371,0.9642448512585813,125,0.03575514874141877,110,0.04579517069109076,2292,0.9542048293089093,0.9962845610974366,5898
17,0.9594802170964516,0.9668820005702319,0.9520784336226713,3372,0.9645308924485125,124,0.03546910755148741,107,0.04454621149042465,2295,0.9554537885095754,0.9966638395641079,5898
18,0.9603448805580082,0.9676162598970718,0.9530735012189446,3377,0.9659610983981693,119,0.034038901601830665,107,0.04454621149042465,2295,0.9554537885095754,0.9967067180029627,5898
19,0.9617791422275987,0.9687086134476035,0.954849671007594,3374,0.9651029748283753,122,0.03489702517162471,96,0.03996669442131557,2306,0.9600333055786844,0.9971075281077427,5898
20,0.9644033918252208,0.9708742008945915,0.9579325827558502,3384,0.9679633867276888,112,0.032036613272311214,91,0.03788509575353872,2311,0.9621149042464613,0.9971963782198223,5898
21,0.9647596523928565,0.9711542629848019,0.9583650418009111,3384,0.9679633867276888,112,0.032036613272311214,89,0.037052456286427976,2313,0.962947543713572,0.9973072056510361,5898
22,0.9643851414649424,0.9709097899721838,0.9578604929577009,3387,0.9688215102974829,109,0.031178489702517163,94,0.03913405495420483,2308,0.9608659450457951,0.997308372947536,5898
23,0.9638596540490434,0.9704786719114906,0.957240636186596,3386,0.9685354691075515,110,0.031464530892448515,96,0.03996669442131557,2306,0.9600333055786844,0.9972832875493282,5898
24,0.9638388554673722,0.9705147422902318,0.9571629686445127,3390,0.9696796338672768,106,0.03032036613272311,100,0.041631973355537054,2302,0.958368026644463,0.9972659409934626,5898
25,0.9613634704519209,0.968536245665417,0.9541906952384249,3387,0.9688215102974829,109,0.031178489702517163,111,0.04621149042464613,2291,0.9537885095753539,0.9972242894972508,5898
26,0.9627777321871217,0.9696688102999627,0.9558866540742808,3390,0.9696796338672768,106,0.03032036613272311,106,0.04412989175686927,2296,0.9558701082431307,0.9971344296142579,5898
27,0.9617191047638556,0.9688211723579936,0.9546170371697175,3388,0.9691075514874142,108,0.030892448512585814,110,0.04579517069109076,2292,0.9542048293089093,0.9971195346280111,5898
28,0.9625954570653268,0.9695388916510523,0.9556520224796013,3391,0.9699656750572082,105,0.030034324942791762,108,0.044962531223980015,2294,0.95503746877602,0.9970064848499398,5898
29,0.9620579685734953,0.969130417259634,0.9549855198873567,3391,0.9699656750572082,105,0.030034324942791762,111,0.04621149042464613,2291,0.9537885095753539,0.9969469662612903,5898
30,0.961732296109401,0.9687977510465204,0.9546668411722816,3385,0.9682494279176201,111,0.031750572082379865,107,0.04454621149042465,2295,0.9554537885095754,0.9968683363178534,5898
31,0.9627990884746349,0.9696322514540796,0.9559659254951901,3386,0.9685354691075515,110,0.031464530892448515,102,0.042464612822647796,2300,0.9575353871773522,0.9967861574120693,5898
32,0.9606687558634711,0.967958047820634,0.9533794639063082,3385,0.9682494279176201,111,0.031750572082379865,113,0.04704412989175687,2289,0.9529558701082431,0.9967063146094262,5898
33,0.9587485630957218,0.9663655703645391,0.9511315558269045,3377,0.9659610983981693,119,0.034038901601830665,116,0.04829308909242298,2286,0.951706910907577,0.996762322950574,5898
34,0.9601418151157644,0.9675312314835567,0.9527523987479721,3383,0.9676773455377574,113,0.03232265446224256,114,0.04746044962531224,2288,0.9525395503746877,0.9968487529262744,5898
