layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_deception_honest_mistake,cm_deception_truth,cm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_truth_deception,cm_truth_honest_mistake,cm_truth_truth,cm_norm_deception_deception,cm_norm_deception_honest_mistake,cm_norm_deception_truth,cm_norm_honest_mistake_deception,cm_norm_honest_mistake_honest_mistake,cm_norm_honest_mistake_truth,cm_norm_truth_deception,cm_norm_truth_honest_mistake,cm_norm_truth_truth
16,0.8092610465534813,0.9526262086776894,0.7759039808948804,0.6992529500878739,3679,46,112,62,3378,865,146,978,2442,0.9588219963513162,0.01198853270784467,0.029189470940839197,0.014401858304297329,0.7846689895470383,0.20092915214866433,0.04094223219293326,0.27425687044307345,0.6848008973639933
17,0.81468148187721,0.9505221967700734,0.7828062109939052,0.7107160378676516,3678,49,110,81,3410,814,143,948,2475,0.9585613760750586,0.012770393536617148,0.028668230388324212,0.018815331010452963,0.7921022067363531,0.18908246225319397,0.040100953449242846,0.26584408300616935,0.6940549635445877
18,0.8251257792048602,0.9574629718593831,0.7940049622645029,0.7239094034906943,3691,42,104,53,3457,795,129,904,2533,0.961949439666406,0.0109460516028147,0.027104508730779256,0.012311265969802556,0.8030197444831592,0.18466898954703834,0.0361749859786876,0.25350532809871,0.7103196859226023
19,0.826213625014708,0.9619730286959445,0.7960313912287381,0.720636455119441,3706,22,109,27,3454,824,135,897,2534,0.9658587438102685,0.005733646077664843,0.02840761011206672,0.0062717770034843206,0.8023228803716609,0.1914053426248548,0.03785754346606843,0.2515423443634324,0.7106001121704991
20,0.8246212400458676,0.9606776129098072,0.791840800182223,0.7213453070455723,3701,31,105,34,3420,851,133,882,2551,0.964555642428981,0.008079228563982278,0.027365129007036748,0.007897793263646922,0.794425087108014,0.19767711962833914,0.03729669097027482,0.24733595064498037,0.7153673583847449
21,0.8129590647611781,0.9547335998938961,0.7767875792849168,0.7073560151047215,3680,49,108,54,3353,898,138,926,2502,0.9590826166275737,0.012770393536617148,0.028146989835809225,0.012543554006968641,0.7788617886178861,0.20859465737514518,0.038698822209758836,0.2596747055524397,0.7016264722378015
22,0.8069682580197713,0.9540633633022176,0.7660006352195786,0.7008407755375179,3687,54,96,67,3290,948,138,941,2487,0.9609069585613761,0.014073494917904612,0.02501954652071931,0.01556329849012776,0.7642276422764228,0.22020905923344947,0.038698822209758836,0.26388109927089176,0.6974200785193494
23,0.8065392745528697,0.951628159973796,0.7670748855066218,0.7009147781781914,3689,50,98,77,3290,938,150,933,2483,0.9614281991138911,0.013031013812874642,0.025540787073234296,0.01788617886178862,0.7642276422764228,0.21788617886178863,0.04206393718452047,0.26163768928771736,0.6962983735277622
24,0.7973250936262718,0.9499881366611733,0.7524879503117536,0.6894991939058882,3676,55,106,82,3206,1017,144,955,2467,0.9580401355225436,0.014334115194162106,0.02762574928329424,0.01904761904761905,0.7447154471544716,0.23623693379790942,0.040381379697139654,0.267807066741447,0.6918115535614133
25,0.7978938664595802,0.9481281397793839,0.7544513435379432,0.6911021160614133,3674,60,103,89,3222,994,150,954,2462,0.9575188949700286,0.01563721657544957,0.02684388845452176,0.02067363530778165,0.748432055749129,0.23089430894308943,0.04206393718452047,0.2675266404935502,0.6904094223219294
26,0.7980645652689078,0.9461786532986333,0.7553321026302044,0.6926829398778859,3674,66,97,96,3227,982,159,946,2461,0.9575188949700286,0.017200938232994525,0.025280166796976804,0.02229965156794425,0.7495934959349594,0.2281068524970964,0.0445877734155917,0.2652832305103758,0.6901289960740326
27,0.785753906273367,0.936927094056115,0.7400797320965594,0.6802548926674267,3646,80,111,135,3152,1018,165,981,2420,0.9502215272348189,0.020849622100599426,0.028928850664581705,0.0313588850174216,0.7321718931475029,0.2364692218350755,0.04627033090297252,0.2750981491867639,0.6786315199102636
