layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
18,0.8035106407582114,0.9748918283095837,0.8061546482086541,0.6294854457563968,4233,0.9771468144044322,8,0.0018467220683287165,91,0.02100646352723915,6,0.001483679525222552,3410,0.8432245301681504,628,0.1552917903066271,113,0.04238559639909977,998,0.3743435858964741,1555,0.5832708177044261
19,0.8063475793007521,0.9755848713845113,0.8078946272788559,0.6355632392388889,4236,0.9778393351800554,7,0.001615881809787627,89,0.020544783010156973,4,0.0009891196834817012,3407,0.842482690405539,633,0.15652818991097922,112,0.042010502625656414,976,0.36609152288072017,1578,0.5918979744936234
20,0.8080186029995647,0.9753409433011269,0.8089319715697284,0.6397828941278391,4232,0.976915974145891,9,0.002077562326869806,91,0.02100646352723915,2,0.0004945598417408506,3401,0.8409990108803165,641,0.15850642927794262,112,0.042010502625656414,955,0.3582145536384096,1599,0.599774943735934
21,0.8055027305372081,0.9754587390655745,0.8074639959588505,0.6335854565871992,4234,0.9773776546629732,6,0.0013850415512465374,92,0.02123730378578024,1,0.0002472799208704253,3403,0.8414935707220573,640,0.1582591493570722,114,0.04276069017254314,976,0.36609152288072017,1576,0.5911477869467366
22,0.8095587724406079,0.974509083943744,0.8113511662088879,0.6428160671691919,4226,0.9755309325946445,8,0.0018467220683287165,98,0.022622345337026777,2,0.0004945598417408506,3411,0.8434718100890207,631,0.15603363006923837,113,0.04238559639909977,945,0.354463615903976,1608,0.6031507876969242
23,0.8122744411038534,0.9772992106748761,0.811699324998463,0.6478247876382208,4242,0.9792243767313019,7,0.001615881809787627,83,0.019159741458910435,5,0.0012363996043521265,3415,0.8444609297725024,624,0.1543026706231454,102,0.03825956489122281,948,0.3555888972243061,1616,0.6061515378844711
24,0.8105771469681967,0.9764796389250229,0.8108933714691539,0.6443584305104134,4236,0.9778393351800554,6,0.0013850415512465374,90,0.02077562326869806,5,0.0012363996043521265,3414,0.844213649851632,625,0.15454995054401582,103,0.038634658664666165,956,0.35858964741185295,1607,0.6027756939234808
25,0.8075896996597568,0.976388753968763,0.8086203492119672,0.63775999579854,4239,0.9785318559556787,6,0.0013850415512465374,87,0.02008310249307479,4,0.0009891196834817012,3410,0.8432245301681504,630,0.15578635014836795,108,0.04051012753188297,974,0.36534133533383345,1584,0.5941485371342836
26,0.807577238031134,0.9765954073553083,0.809328462012559,0.6368078447255344,4236,0.9778393351800554,4,0.0009233610341643582,92,0.02123730378578024,4,0.0009891196834817012,3422,0.8461918892185954,618,0.15281899109792285,103,0.038634658664666165,986,0.3698424606151538,1577,0.59152288072018
27,0.8053103735127357,0.9766090837848141,0.805984310951029,0.633337725802364,4238,0.9783010156971376,7,0.001615881809787627,87,0.02008310249307479,4,0.0009891196834817012,3403,0.8414935707220573,637,0.15751730959446092,105,0.03938484621155289,990,0.37134283570892723,1571,0.5892723180795199
28,0.8055670185087496,0.9756948486969416,0.8063854520243092,0.6346207548049979,4235,0.9776084949215144,8,0.0018467220683287165,89,0.020544783010156973,5,0.0012363996043521265,3399,0.8405044510385756,640,0.1582591493570722,109,0.04088522130532633,979,0.36721680420105024,1578,0.5918979744936234
29,0.7998993558169519,0.9750060525570954,0.8020026445462991,0.6226893703474615,4233,0.9771468144044322,9,0.002077562326869806,90,0.02077562326869806,5,0.0012363996043521265,3393,0.8390207715133531,646,0.15974282888229477,113,0.04238559639909977,1015,0.38072018004501124,1538,0.5768942235558889
30,0.8035412123672084,0.9755941234941705,0.8069507141043191,0.6280787995031357,4237,0.9780701754385965,8,0.0018467220683287165,87,0.02008310249307479,5,0.0012363996043521265,3426,0.8471810089020771,613,0.15158259149357073,112,0.042010502625656414,1013,0.3799699924981245,1541,0.578019504876219
31,0.8029807921275721,0.9755785114527867,0.8055219344829612,0.6278419304469685,4235,0.9776084949215144,8,0.0018467220683287165,89,0.020544783010156973,4,0.0009891196834817012,3413,0.8439663699307616,627,0.15504451038575667,111,0.041635408852213056,1008,0.37809452363090773,1547,0.5802700675168793
32,0.8035977645059228,0.9747646357997383,0.8076367064974155,0.6283919512206146,4230,0.9764542936288089,8,0.0018467220683287165,94,0.02169898430286242,5,0.0012363996043521265,3429,0.8479228486646885,610,0.15084075173095945,112,0.042010502625656414,1010,0.37884471117779445,1544,0.5791447861965492
33,0.8047660205238341,0.9760511318417173,0.8075032043693948,0.63074372536039,4239,0.9785318559556787,6,0.0013850415512465374,87,0.02008310249307479,3,0.000741839762611276,3419,0.8454500494559841,622,0.15380811078140455,112,0.042010502625656414,999,0.37471867966991745,1555,0.5832708177044261
34,0.8048294189850388,0.9760229739816031,0.8081250616220809,0.630340221351432,4234,0.9773776546629732,7,0.001615881809787627,91,0.02100646352723915,3,0.000741839762611276,3431,0.8484174085064293,610,0.15084075173095945,107,0.04013503375843961,1009,0.3784696174043511,1550,0.5813953488372093
35,0.8027870727223894,0.9741736577318978,0.8058217142916151,0.628365846143655,4225,0.9753000923361034,9,0.002077562326869806,98,0.022622345337026777,8,0.0019782393669634025,3413,0.8439663699307616,623,0.15405539070227497,109,0.04088522130532633,1005,0.37696924231057766,1552,0.582145536384096
